,Ingredient,TF-IDF Value,Recipe_ID
173,깨소금,0.1553112187510125,15
174,쇠고기,0.20778183616818094,15
175,간장,0.11620680539948529,15
176,후춧가루,0.12225625326245695,15
177,김치,0.3555424511957358,15
178,두부,0.25357538516750333,15
179,만두피,0.5204190158021946,15
180,육수,0.3369522654734661,15
181,다진마늘,0.19519081890981815,16
182,다진파,0.3167428909669133,16
183,소금,0.09671327010827574,16
184,홍고추,0.3378730650363715,16
185,고춧가루,0.29599760721716645,16
186,깨소금,0.27721558304926913,16
187,물,0.23439201629691667,16
188,다시마,0.5601842918326092,16
189,오이,0.4526076661522184,16
190,고추장,0.34220558386718924,17
191,다진마늘,0.16388930939857577,17
192,소금,0.08120397842608755,17
193,참기름,0.16472110994946187,17
194,진간장,0.43735858189801763,17
195,쇠고기,0.31139643100729836,17
196,파,0.5967146383022849,17
197,후춧가루,0.18322179472626787,17
198,두부,0.38002585494791974,17
199,계란,0.2039963246535752,18
200,소금,0.055608310343501124,18
201,콩나물,0.35028872754986895,18
202,홍고추,0.19427065423615278,18
203,마늘,0.19902999361437623,18
204,후춧가루,0.12546989224309188,18
205,밀가루,0.26024089078016427,18
206,실파,0.2541753441556411,18
207,두부,0.26024089078016427,18
208,모시조개,0.43411359848655706,18
209,북어,0.5924389748736996,18
210,국간장,0.5704913657285826,19
211,소금,0.08937591084788868,19
212,참기름,0.18129775810194493,19
213,마늘,0.3198890031984808,19
214,쇠고기,0.3427336960022384,19
215,물,0.2166093642429478,19
216,후춧가루,0.20166025246842162,19
217,실파,0.40852082644947557,19
218,무,0.3992637857450371,19
219,국간장,0.41737299913802445,20
220,참기름,0.13263792159127796,20
221,마늘,0.23403164478346072,20
222,물,0.15847198647783203,20
223,식용유,0.23691976265502582,20
224,후춧가루,0.14753517657920162,20
225,다진쇠고기,0.5349417138587264,20
226,미역,0.6035416643424987,20
227,다진마늘,0.1442559083631192,21
228,소금,0.07147600849342642,21
229,고춧가루,0.218757234284416,21
230,깨소금,0.20487636646301563,21
231,간장,0.1532923908522615,21
232,물,0.17322758013324766,21
233,오이,0.3345000055718066,21
234,대파,0.2116527920638677,21
235,불린미역,0.8210108709982661,21
236,미나리,0.29084673424947033,22
237,소금,0.054527681147760756,22
238,콩나물,0.3434816114265615,22
239,홍고추,0.19049541741369996,22
240,마늘,0.1951622691573815,22
241,후춧가루,0.1230316518450876,22
242,무,0.24358832482284618,22
243,생태,0.6263335059729315,22
244,쌀뜨물,0.5033018541278439,22
245,소금,0.03322694800472019,23
246,양파,0.09371840944311405,23
247,후춧가루,0.07497047761326707,23
248,레몬즙,0.3066916506584636,23
249,모듬채소,0.4289632332374037,23
250,방울토마토,0.2961722433932581,23
251,양송이버섯,0.2397588133747115,23
252,연어,0.4289632332374037,23
253,올리브유,0.21802719015699965,23
254,차이브,0.3816621282717307,23
255,페스토소스,0.4289632332374037,23
256,다진마늘,0.16424826782336352,24
257,설탕,0.1569270560789804,24
258,소금,0.0813818353728847,24
259,홍고추,0.28431186459663577,24
260,고춧가루,0.24907469796385212,24
261,깨소금,0.2332700871065199,24
262,파,0.5980215920468507,24
263,간장,0.1745371122311898,24
264,물,0.19723511015229248,24
265,오이,0.3808582062633979,24
266,식초,0.3381793188931212,24
267,대파,0.2409856543897134,24
268,당근,0.08173313892213346,25
269,양파,0.06480357788007389,25
270,모시조개,0.1793610831536865,25
271,가리비,0.2966157071803663,25
272,가재새우,0.2966157071803663,25
273,갑오징어,0.2312010067459307,25
274,검은껍질홍합,0.2966157071803663,25
275,꼴뚜기,0.26390835696314846,25
276,루콜라,0.2966157071803663,25
277,삶은 문어살,0.2966157071803663,25
278,샐러리,0.1688316682094438,25
279,소스,0.26390835696314846,25
280,중새우살,0.2966157071803663,25
281,쭈꾸미,0.2447757835881221,25
282,참소라살,0.2966157071803663,25
283,트레비스,0.2447757835881221,25
284,소금,0.06754162696555373,26
285,부추,0.45641286463010783,26
286,물,0.16369230521009612,26
287,재첩,0.8719691822776706,26
288,감자,0.16298377522940577,27
289,방울토마토,0.24802286718188948,27
290,올리브유,0.1825820279672468,27
291,계란노른자,0.22763997555401502,27
292,그린올리브,0.35922573231106614,27
293,도미,0.35922573231106614,27
294,바질,0.23366100957674507,27
295,블랙올리브,0.35922573231106614,27
296,스위트마조람,0.35922573231106614,27
297,오레가노,0.2964433709439056,27
298,케이퍼,0.3196144725250493,27
299,화이트와인,0.2568321111578888,27
300,다진마늘,0.08673275257944951,28
301,다진파,0.14074423657306048,28
302,설탕,0.08286672187348054,28
